crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 13:49:17.058",4d6bedf4004c7aea4b4018254c407734,https://www.shoppersstop.com/snack-platter-wth-cloche-cvr-13x7-cm/p/A25BTE18001750,Snack Platter Wth Cloche Cvr 13X7 Cm,Back To Earth,A25BTE18001750,1495,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001750/A25BTE18001750_CLEAR/A25BTE18001750_CLEAR.jpg
"Apr 19, 2026 @ 13:49:17.133",5fb32c074fb3dce2a68f05a4a2a8696c,https://www.shoppersstop.com/floral-v-neck-rayon-women-dress/p/MMYMD86PD7,Floral V-Neck Rayon Women Dress,Moomaya,MMYMD86PD7,924,2200,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYMD86PD7/MMYMD86PD7_BLACK/MMYMD86PD7_BLACK.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.141",9b505df83c4c472525a5a83d8488bf84,https://www.shoppersstop.com/solid-square-neck-polyester-women-dress/p/N24WDR5145BK,Solid Square Neck Polyester Women Dress,Neudis,N24WDR5145BK,2499,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/N24WDR5145BK/N24WDR5145BK_BLACK/N24WDR5145BK_BLACK.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.157",d868c57e909afe3754fb33419ed5b6f3,https://www.shoppersstop.com/floral-v-neck-chiffon-women-dress/p/MMYMD315PD1,Floral V-Neck Chiffon Women Dress,Moomaya,MMYMD315PD1,1312,3200,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYMD315PD1/MMYMD315PD1_PURPLE/MMYMD315PD1_PURPLE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.146",0f3a7a49461a0ec31f7018b43ac8d9d1,https://www.shoppersstop.com/polka-dots-v-neck-georgette-women-dress/p/A2212057,Polka Dots V-Neck Georgette Women Dress,Qurvii,A2212057,3495,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A2212057/A2212057_BLACK/A2212057_BLACK.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.224",a554a0056478a452620eba7e06f335e7,https://www.shoppersstop.com/abstract-v-neck-georgette-women-dress/p/14080RED,Abstract V-Neck Georgette Women Dress,Qurvii,14080RED,3395,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/14080RED/14080RED_RED/14080RED_RED.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.236",dd60b5b5ad68c21b98cb2432a9bc484d,https://www.shoppersstop.com/printed-v-neck-polyester-women-dress/p/LA4133NAVYFL,Printed V-Neck Polyester Women Dress,Sera,LA4133NAVYFL,2394,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/LA4133NAVYFL/LA4133NAVYFL_NAVY/LA4133NAVYFL_NAVY.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.243",f651172d3c69b4f062af5c58b8abeb59,https://www.shoppersstop.com/animal-print-v-neck-georgette-women-dress/p/A24346DR50,Animal Print V-Neck Georgette Women Dress,FRATINI,A24346DR50,749,1499,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24346DR50/A24346DR50_BLACK/A24346DR50_BLACK.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.257",93fb1ab624a8577e6b04889e28b166ff,https://www.shoppersstop.com/solid-sweetheart-neck-polyester-women-dress/p/N22WDRFR12111BK,Solid Sweetheart Neck Polyester Women Dress,Neudis,N22WDRFR12111BK,1999,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/N22WDRFR12111BK/N22WDRFR12111BK_BLACK/N22WDRFR12111BK_BLACK.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:17.321",48b32b8347dccb66923f852ff56ac8ab,https://www.shoppersstop.com/bandhani-v-neck-blended-fabric-women-dress/p/MMYMD86PD3,Bandhani V-Neck Blended Fabric Women Dress,Moomaya,MMYMD86PD3,924,2200,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYMD86PD3/MMYMD86PD3_RED/MMYMD86PD3_RED.jpg_2000Wx3000H
