crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:12:32.172",ea60963b6d0b14d256869442280e28aa,https://www.myntra.com/jeans/woomny/woomny-men-regular-fit-high-rise-jeans/41169174/buy,WOOMNY Men Regular Fit High-Rise Jeans,WOOMNY,1114,2499,55,,,41169174,Grey
"Apr 20, 2026 @ 22:12:32.997",2351aad485da043a86ea57513b8f49d8,https://www.myntra.com/jeans/glitchez/glitchez-men-zipper-hem-flared-jeans/32323291/buy,glitchez Men Zipper Hem Flared Jeans,glitchez,791,2199,64,4.1,165,32323291,Blue
"Apr 20, 2026 @ 22:12:33.656",b13e5e06f6e782ae43ac4db2da6ae6e8,https://www.myntra.com/jeans/stylecast/stylecast-men-baggy-fit-mid-rise-jeans/36984948/buy,StyleCast Men Baggy Fit Mid-Rise Jeans,StyleCast,730,1699,57,3.7,606,36984948,Grey
"Apr 20, 2026 @ 22:12:33.792",6dda7a3d197eb736bd2e2b6110d546a9,https://www.myntra.com/jeans/9x+denims/9x-denims-men-mid-rise-jeans/41050431/buy,9X DENIMS Men Mid-Rise Jeans,9X DENIMS,697,2199,68,4.0,15,41050431,Black
"Apr 20, 2026 @ 22:12:34.170",2d77e5284cea5c69b7311f24ac9eb297,https://www.myntra.com/tshirts/bonkers+corner/bonkers-corner-women-take-it-easy-baby-tee/33322087/buy,Bonkers Corner Women Take It Easy Baby Tee,Bonkers Corner,558,699,20,5.0,5,33322087,Pink
"Apr 20, 2026 @ 22:12:35.126",3fa16bd98cd6ba1ad9df1c7609bba981,https://www.myntra.com/tshirts/szn/good-things-take-time-oversized-graphic-tshirt/41075600/buy,Good Things Take Time Oversized Graphic Tshirt,SZN,299,2499,88,,,41075600,Grey
"Apr 20, 2026 @ 22:12:35.735",3078aa3a5d34f7345ce0a1d2cc84251f,https://www.myntra.com/tshirts/stitchmeashirt/need-to-slay-graphic-oversized-t-shirt/36437450/buy,Need to Slay Graphic Oversized T-shirt,Stitchmeashirt,1499,1499,,,,36437450,Black
"Apr 20, 2026 @ 22:12:35.746",5298468897a675c4138d02754f399596,https://www.myntra.com/tshirts/arvesa/arvesa-kids-need-more-doodh-printed-tshirt/33903941/buy,Arvesa Kids Need More Doodh Printed Tshirt,Arvesa,344,699,51,,,33903941,Pink
"Apr 20, 2026 @ 22:12:36.056",901f53fe0ad0c16175a969cc4d222f9e,https://www.myntra.com/tshirts/operative/operative-men-t-shirt/40816963/buy,OPERATIVE Men T-shirt,OPERATIVE,483,1299,63,,,40816963,Orange
"Apr 20, 2026 @ 22:12:36.959",a7a3b81efda47bf3a368f30dfc9c99ef,https://www.myntra.com/tshirts/puma/puma-dc-take-down-2024-cricket-official-jersey/28297592/buy,Puma DC Take Down 2024 Cricket Official Jersey,Puma,529,999,47,4.5,141,28297592,Blue
"Apr 20, 2026 @ 22:12:37.602",a13219ad6f06f73e1c4644a104871908,https://www.myntra.com/tshirts/hauntrex/hauntrex-take-a-break-long-sleeve-oversized-tshirts/40387001/buy,Hauntrex Take A Break Long Sleeve Oversized Tshirts,Hauntrex,1499,1999,25,,,40387001,Black
"Apr 20, 2026 @ 22:12:37.681",4a2222716f4731e8557d9915c0773dd5,https://www.myntra.com/tshirts/damn+gud+dg/damn-gud-dg-unisex-black-tshirts/35053929/buy,DAMN GUD DG Unisex Black Tshirts,DAMN GUD DG,499,1000,50,4.1,415,35053929,Black
